Name/username             Host                                    Dyn Forcerport ACL Port     Status     
1101/1101                 172.16.1.168                             D                 5060     OK (7 ms)  
1102/1102                 172.16.1.169                             D                 5060     OK (7 ms)  
1103/1103                 172.16.1.170                             D                 5060     OK (7 ms)  
1104/1104                 172.16.1.171                             D                 5060     OK (7 ms)  
1105/1105                 172.16.1.172                             D                 5060     OK (6 ms)  
1106/1106                 172.16.1.173                             D                 5060     OK (7 ms)  
1107/1107                 172.16.1.174                             D                 5060     OK (7 ms)  
1108/1108                 172.16.1.175                             D                 5060     OK (7 ms)  
1109/1109                 172.16.1.176                             D                 5060     OK (7 ms)  
1110/1110                 172.16.11.43                             D                 5060     OK (7 ms)  
1111/1111                 172.16.1.84                              D                 5062     OK (30 ms) 
1112/1112                 172.16.1.110                             D                 5060     OK (7 ms)  
1113/1113                 172.16.1.70                              D                 5060     OK (7 ms)  
1114/1114                 172.16.1.71                              D                 5060     OK (7 ms)  
1115/1115                 172.16.1.72                              D                 5060     OK (7 ms)  
1116/1116                 172.16.1.8                               D                 5060     OK (7 ms)  
1117/1117                 172.16.11.34                             D                 5060     OK (8 ms)  
1118/1118                 172.16.11.18                             D                 5060     OK (8 ms)  
1119/1119                 172.16.11.8                              D                 5060     OK (8 ms)  
1120/1120                 172.16.11.9                              D                 5060     OK (8 ms)  
1121/1121                 172.16.11.17                             D                 5060     OK (7 ms)  
1122/1122                 172.16.1.76                              D                 5060     OK (6 ms)  
1123/1123                 172.16.1.24                              D                 5060     OK (6 ms)  
1124/1124                 172.16.1.18                              D                 5060     OK (7 ms)  
1125/1125                 172.16.1.93                              D                 5060     OK (7 ms)  
1126/1126                 172.16.1.88                              D                 5060     OK (7 ms)  
1127/1127                 172.16.1.82                              D                 5060     OK (7 ms)  
1128/1128                 172.16.1.17                              D                 5060     OK (7 ms)  
1129/1129                 172.16.1.15                              D                 5060     OK (7 ms)  
1130/1130                 172.16.1.91                              D                 5062     OK (69 ms) 
1131/1131                 172.16.1.80                              D                 5060     OK (7 ms)  
1132/1132                 172.16.1.26                              D                 5060     OK (7 ms)  
1133/1133                 172.16.1.108                             D                 5062     OK (64 ms) 
1134/1134                 172.16.1.96                              D                 5060     OK (6 ms)  
1135/1135                 172.16.1.78                              D                 5060     OK (6 ms)  
1136/1136                 172.16.1.114                             D                 5060     OK (7 ms)  
1137/1137                 172.16.11.13                             D                 5060     OK (10 ms) 
1138/1138                 172.16.1.25                              D                 5060     OK (6 ms)  
1139/1139                 172.16.1.125                             D                 5060     OK (6 ms)  
1140/1140                 172.16.12.29                             D                 5060     OK (10 ms) 
1141/1141                 172.16.1.115                             D                 5060     OK (8 ms)  
1142/1142                 172.16.1.103                             D                 5060     OK (7 ms)  
1143/1143                 172.16.1.19                              D                 5060     OK (6 ms)  
1144/1144                 172.16.1.113                             D                 5060     OK (7 ms)  
1145/1145                 172.16.1.11                              D                 5060     OK (8 ms)  
1146/1146                 172.16.1.104                             D                 5060     OK (7 ms)  
1147/1147                 172.16.1.109                             D                 5060     OK (7 ms)  
1148/1148                 172.16.1.32                              D                 5060     OK (7 ms)  
1149/1149                 172.16.1.100                             D                 5060     OK (7 ms)  
1150/1150                 172.16.1.102                             D                 5060     OK (7 ms)  
1151/1151                 172.16.11.16                             D                 5060     OK (7 ms)  
1152/1152                 172.16.1.126                             D                 5060     OK (7 ms)  
1153/1153                 172.16.1.98                              D                 5060     OK (7 ms)  
1154/1154                 172.16.1.129                             D                 5060     OK (7 ms)  
1155/1155                 172.16.1.117                             D                 5060     OK (7 ms)  
1156/1156                 172.16.1.124                             D                 5060     OK (7 ms)  
1157/1157                 172.16.1.75                              D                 5060     OK (7 ms)  
1158/1158                 172.16.1.21                              D                 5060     OK (7 ms)  
1159/1159                 172.16.1.68                              D                 5060     OK (6 ms)  
1160/1160                 172.16.11.19                             D                 5060     OK (8 ms)  
1161/1161                 172.16.1.119                             D                 5060     OK (7 ms)  
1162/1162                 172.16.1.122                             D                 5060     OK (6 ms)  
1163/1163                 172.16.11.10                             D                 5060     OK (8 ms)  
1164/1164                 172.16.1.107                             D                 5060     OK (6 ms)  
1165/1165                 172.16.11.7                              D                 5060     OK (8 ms)  
1166/1166                 172.16.1.69                              D                 5060     OK (7 ms)  
1167/1167                 172.16.11.11                             D                 5060     OK (8 ms)  
1168/1168                 172.16.1.127                             D                 5060     OK (6 ms)  
1169/1169                 172.16.1.31                              D                 5060     OK (7 ms)  
1170/1170                 172.16.1.120                             D                 5060     OK (7 ms)  
1171/1171                 172.16.1.130                             D                 5060     OK (6 ms)  
1172/1172                 172.16.1.22                              D                 5060     OK (7 ms)  
1173/1173                 172.16.1.30                              D                 5060     OK (7 ms)  
1174/1174                 172.16.1.158                             D                 5060     OK (6 ms)  
1175/1175                 172.16.1.83                              D                 5060     OK (7 ms)  
1176/1176                 172.16.1.58                              D                 5060     OK (9 ms)  
1177/1177                 172.16.1.123                             D                 5060     OK (8 ms)  
1178/1178                 172.16.11.5                              D                 5060     OK (8 ms)  
1179/1179                 172.16.1.106                             D                 5060     OK (6 ms)  
1180/1180                 172.16.11.14                             D                 5060     OK (8 ms)  
1181/1181                 172.16.1.131                             D                 5060     OK (7 ms)  
1182/1182                 172.16.1.116                             D                 5060     OK (7 ms)  
1183/1183                 172.16.1.89                              D                 5060     OK (7 ms)  
1184/1184                 172.16.1.73                              D                 5060     OK (7 ms)  
1185/1185                 172.16.1.112                             D                 5060     OK (7 ms)  
1186/1186                 172.16.1.55                              D                 5060     OK (7 ms)  
1187/1187                 172.16.1.74                              D                 5060     OK (7 ms)  
1188/1188                 172.16.1.128                             D                 5060     OK (13 ms) 
1189/1189                 172.16.1.33                              D                 5060     OK (7 ms)  
1190/1190                 172.16.1.12                              D                 5060     OK (7 ms)  
1191/1191                 172.16.1.118                             D                 5060     OK (7 ms)  
1192/1192                 172.16.1.37                              D                 5060     OK (7 ms)  
1193/1193                 172.16.1.65                              D                 5060     OK (7 ms)  
1194/1194                 172.16.1.77                              D                 5060     OK (7 ms)  
1195/1195                 172.16.1.23                              D                 5060     OK (7 ms)  
1196/1196                 172.16.11.6                              D                 5060     OK (8 ms)  
1197/1197                 172.16.1.94                              D                 5060     OK (7 ms)  
1198/1198                 172.16.1.7                               D                 5060     OK (7 ms)  
1199/1199                 172.16.1.159                             D                 5060     OK (6 ms)  
1211/1211                 172.16.1.160                             D                 5060     OK (6 ms)  
1212/1212                 172.16.1.97                              D                 5062     OK (24 ms) 
1213/1213                 172.16.1.86                              D                 5060     OK (7 ms)  
1214/1214                 172.16.11.32                             D                 5060     OK (8 ms)  
1215/1215                 172.16.1.67                              D                 5062     OK (22 ms) 
1216/1216                 172.16.1.36                              D                 5062     OK (70 ms) 
1217/1217                 172.16.1.56                              D                 5062     OK (54 ms) 
1218/1218                 172.16.1.161                             D                 5060     OK (7 ms)  
1219/1219                 172.16.1.5                               D                 5062     OK (80 ms) 
1220/1220                 172.16.1.85                              D                 5062     OK (72 ms) 
1221/1221                 172.16.1.162                             D                 5060     OK (7 ms)  
1222/1222                 172.16.1.48                              D                 5062     OK (74 ms) 
1223/1223                 172.16.1.163                             D                 5060     OK (6 ms)  
1224/1224                 172.16.1.164                             D                 5060     OK (7 ms)  
1225/1225                 172.16.1.165                             D                 5060     OK (7 ms)  
1226/1226                 172.16.2.28                              D                 5060     OK (10 ms) 
1227/1227                 172.16.1.166                             D                 5060     OK (9 ms)  
1228/1228                 172.16.1.167                             D                 5060     OK (6 ms)  
1229/1229                 172.16.1.87                              D                 5062     OK (81 ms) 
1230/1230                 172.16.5.10                              D                 5060     OK (10 ms) 
1233/1233                 172.16.12.17                             D                 5060     OK (9 ms)  
